Date,Close
2004-08-19,2.4787824153900146
2004-08-20,2.6756718158721924
2004-08-23,2.702598810195923
2004-08-24,2.590690851211548
2004-08-25,2.618605613708496
2004-08-26,2.66579008102417
2004-08-27,2.6223108768463135
2004-08-30,2.5200374126434326
2004-08-31,2.5289306640625
2004-09-01,2.4765586853027344
2004-09-02,2.507685422897339
2004-09-03,2.4706289768218994
2004-09-07,2.5094146728515625
2004-09-08,2.5272018909454346
2004-09-09,2.527448892593384
2004-09-10,2.6020541191101074
2004-09-13,2.655661106109619
2004-09-14,2.75423002243042
2004-09-15,2.7668285369873047
2004-09-16,2.815495014190674
2004-09-17,2.9024529457092285
2004-09-20,2.948648691177368
2004-09-21,2.911099433898926
2004-09-22,2.924438714981079
2004-09-23,2.9847166538238525
2004-09-24,2.9602596759796143
2004-09-27,2.9214749336242676
2004-09-28,3.133927345275879
2004-09-29,3.238178253173828
2004-09-30,3.201616048812866
2004-10-01,3.275233745574951
2004-10-04,3.336498260498047
2004-10-05,3.4182679653167725
2004-10-06,3.3864006996154785
2004-10-07,3.4301257133483887
2004-10-08,3.4024581909179688
2004-10-11,3.341440200805664
2004-10-12,3.394305944442749
2004-10-13,3.480769395828247
2004-10-14,3.5079431533813477
2004-10-15,3.560068130493164
2004-10-18,3.6848230361938477
2004-10-19,3.65468430519104
2004-10-20,3.4706406593322754
2004-10-21,3.6902573108673096
2004-10-22,4.25968074798584
2004-10-25,4.6294965744018555
2004-10-26,4.491156101226807
2004-10-27,4.594170570373535
2004-10-28,4.775249481201172
2004-10-29,4.709537982940674
2004-11-01,4.842690467834473
2004-11-02,4.814034461975098
2004-11-03,4.734982490539551
2004-11-04,4.562796592712402
2004-11-05,4.183592796325684
2004-11-08,4.2626447677612305
2004-11-09,4.16753625869751
2004-11-10,4.146783828735352
2004-11-11,4.521294593811035
2004-11-12,4.496096134185791
2004-11-15,4.566997051239014
2004-11-16,4.262397766113281
2004-11-17,4.261409759521484
2004-11-18,4.13887882232666
2004-11-19,4.18482780456543
2004-11-22,4.078601837158203
2004-11-23,4.138384819030762
2004-11-24,4.3172407150268555
2004-11-26,4.431619644165039
2004-11-29,4.472627639770508
